State,Recovered
Maharashtra,1890323
Karnataka,912205
Andhra Pradesh,877212
Tamil Nadu,813326
Kerala,779097
Delhi,619501
Uttar Pradesh,579693
West Bengal,548705
Odisha,329801
Rajasthan,308010
Telangana,286244
Chhattisgarh,284412
Haryana,261510
Bihar,253913
Gujarat,245907
Madhya Pradesh,241966
Assam,212975
Punjab,162762
Jammu and Kashmir,120392
Jharkhand,115542
,
,
,
,
,
,
,
,
,
,
,
,
,
,
