State,Deaths
Maharashtra,50473
Tamil Nadu,12272
Karnataka,12175
Delhi,10754
West Bengal,10063
Uttar Pradesh,8580
Andhra Pradesh,7141
Punjab,5509
Gujarat,4367
Madhya Pradesh,3756
Chhattisgarh,3565
Kerala,3481
Haryana,2989
Rajasthan,2750
Odisha,1954
Jammu and Kashmir,1922
Telangana,1579
Bihar,1460
Assam,1075
Jharkhand,1054
